PARAMETRO,UNIDAD DE MEDIDA,Cons_humano_conv,Cons_humano_desi,Uso_agricola,Uso_pecuario,uso_recreativo_prim,uso_recreativo_sec,flora_fauna_fria,flora_fauna_calida,flora_fauna_mari
ALUMINIO,mg/L,0,0,1,1,0,0,0,0,0
AMONIACO,mg/L,1,1,0,0,0,0,1,1,1
ARSENICO,mg/L,1,1,1,1,0,0,1,1,1
BARIO,mg/L,1,1,0,0,0,0,1,1,1
BERILIO,mg/L,0,0,1,0,0,0,1,1,1
BORO,mg/L,0,0,1,1,0,0,0,0,0
CADMIO,mg/L,1,1,1,1,0,0,1,1,1
CIANURO,mg/L,1,1,0,0,0,0,0,0,0
CIANURO LIBRE,mg/L,0,0,0,0,0,0,1,1,1
ZINC,mg/L,1,1,1,1,0,0,1,1,1
CLORO RESIDUAL TOTAL,mg/L,0,0,0,0,0,0,1,1,1
CLOROFENOLES,mg/L,0,0,0,0,0,0,1,1,1
CLORURO,mg/L,1,1,0,0,0,0,0,0,0
COBALTO,mg/L,0,0,1,0,0,0,0,0,0
COBRE,mg/L,1,1,1,1,0,0,1,1,1
COLIFORMES FECALES,NMP,1,0,1,0,1,0,0,0,0
COLIFORMES TOTALES,NMP,1,1,1,0,1,1,0,0,0
COLOR REAL,UPC,1,1,0,0,0,0,0,0,0
SOLIDOS DISUELTOS TOTALES,mg/L,0,0,0,1,0,0,0,0,1
CROMO,mg/L,1,1,1,1,0,0,0,0,1
CROMO HEXAVALENTE,mg/L,0,0,0,0,0,0,1,1,1
DIFENIL,mg/L,0,0,0,0,0,0,1,1,1
FENOLES,mg/L,1,1,0,0,1,0,0,0,1
FENOLES MONOHIDRICOS,mg/L,0,0,0,0,0,0,1,1,1
FLUOR,mg/L,0,0,1,0,0,0,0,0,1
GRASAS Y ACEITES,mg/L,0,0,0,0,0,0,1,1,1
HIERRO,mg/L,0,0,1,0,0,0,1,1,1
LITIO,mg/L,0,0,1,0,0,0,0,0,1
MANGANESO,mg/L,0,0,1,0,0,0,1,1,1
MERCURIO,mg/L,1,1,0,1,0,0,1,1,1
MOLIBDENO,mg/L,0,0,1,0,0,0,0,0,1
NIQUEL,mg/L,0,0,1,0,0,0,1,1,1
NITRATO,mg/L,1,1,0,0,0,0,0,0,1
NITRATO + NITRITO,mg/L,0,0,0,1,0,0,0,0,1
NITRITO,mg/L,1,1,0,1,0,0,0,0,1
OXIGENO DISUELTO,mg/L,0,0,0,0,0,0,1,1,1
PH,Unidad de pH,1,1,1,0,1,1,1,1,1
PLAGUICIDAS ORGANOCLORADOS,mg/L,0,0,0,0,0,0,1,1,1
PLAGUICIDAS ORGANOFOSFORADOS,mg/L,0,0,0,0,0,0,1,1,1
PLATA,mg/L,1,1,0,0,0,0,1,1,1
PLOMO,mg/L,1,1,1,1,0,0,1,1,1
SELENIO,mg/L,1,1,1,0,0,0,1,1,1
SULFATO,mg/L,1,1,0,0,0,0,0,0,1
SULFURO DE HIDROGENO IONIZADO,mg/L,0,0,0,0,0,0,1,1,1
SUSTANCIAS ACTIVAS DE AZUL DE METILENO (SAAM),mg/L,1,1,0,0,1,1,1,1,1
TURBIEDAD,UJT,0,1,0,0,0,0,0,0,1
VANADIO,mg/L,0,0,1,0,0,0,0,0,1
