PARAMETRO_NAME,lim_inferior,lim_superior
MAGNESIO,0,46
CALCIO,0.062,114
SODIO,0,252
POTASIO,0.1,26
BICARBONATO,0,501
CLORURO,0,145
SULFATO,0.01,561
NITRATO,0.007,55
NITRITO,0.003,1
HIERRO,0.01,16
ACENAFTENO_HAP_S,0,100
ACENAFTILENO_HAP_S,0,100
ACIDEZ_TOTAL,0,100
ALCALINIDAD_BICARBONATOS,0,100
ALCALINIDAD_TOTAL,0,100
ALUMINIO,0,100
ANTRACENO_HAP_S,0,100
ARSENICO,0,100
BARIO,0,100
BENZO_ANTRACENO_HAP_S,0,100
BENZO_PIRENO_HAP_S,0,100
BENZO_B_FLUORANTENO_HAP_S,0,100
BENZO_K_FLUORANTENO_HAP_S,0,100
BORO,0,100
"BTEX_BENCENO,_TOLUENO,_ETILBENCENO_Y_XILENO",0,100
CADMIO,0,100
CARBONO_ORGANICO_TOTAL,0,100
CIANURO_TOTAL,0,100
CINC,0,100
CO2_DISUELTO,0,100
COBRE,0,100
COLIFORMES_FECALES,0,100
COLIFORMES_TOTALES,0,100
COLOR_APARENTE,0,100
CONDUCTIVIDAD_ELECTRICA,0,100
CRISENO_HAP_S,0,100
CROMO,0,100
DEMANDA_QUIMICA_DE_OXIGENO,0,100
DIBENZO_ANTRACENO_HAP_S,0,100
DIBENZO_PERILENO_HAP_S,0,100
DUREZA_TOTAL,0,100
ESTRONCIO,0,100
FENANTRENO_HAP_S,0,100
FENOLES,0,100
FLUORANTENO_HAP_S,0,100
FLUORENO_HAP_S,0,100
FLUORUROS,0,100
FOSFORO_TOTAL,0,100
GRASAS_Y_ACEITES,0,100
HIDROCARBUROS_TOTALES,0,100
INDENO_PIRENO_HAP_S,0,100
MANGANESO,0,100
MERCURIO,0,100
NAFTALENO_HAP_S,0,100
NIQUEL,0,100
NITROGENO_AMONIACAL,0,100
NITROGENO_TOTAL,0,100
ORTOFOSFATOS,0,100
OXIGENO_DISUELTO,0,100
PH,0,100
PIRENO_HAP_S,0,100
PLATA,0,100
PLOMO,0,100
SELENIO,0,100
SILICE,0,100
SOLIDOS_DISUELTOS_TOTALES,0,100
SOLIDOS_SUPENDIDOS_TOTALES,0,100
SOLIDOS_SUPENDIDOS_VOLATILES,0,100
SOLIDOS_TOTALES_TOTALES,0,100
SULFUROS,0,100
SUSTANCIAS_ACTIVAS_DE_AZUL_DE_METILENO_SAAM,0,100
VANADIO,0,100
TEMPERATURA,0,100
,0,100
